coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,main/sea_level,main/grnd_level,wind/gust,rain/1h,message,snow/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon
-159.319,22.0752,800,Clear,clear sky,01d,stations,291.15,290.65,291.15,291.15,1017,94,10000,4.12,280,1,1610213142,1,7873,US,1610212693,1610251834,-36000,5848280,Kapaa,200,,,,,,,,,,
-65.3051,-43.249,800,Clear,clear sky,01d,stations,301.66,296.29,301.66,301.66,1001,13,10000,4.34,319,7,1610213142,,,AR,1610182400,1610236989,-10800,3833883,Trelew,200,1001,999,,,,,,,,
-41.0511,-21.6403,803,Clouds,broken clouds,04d,stations,303.15,304.04,303.15,303.15,1009,66,10000,6.17,70,75,1610213142,1,8337,BR,1610179817,1610227926,-10800,3448903,São João da Barra,200,,,,,,,,,,
-73.414,41.3712,800,Clear,clear sky,01d,stations,271.5,263.01,270.93,272.15,1011,51,10000,7.72,360,1,1610213142,1,3888,US,1610194749,1610228532,-18000,5282297,Bethel,200,,,11.83,,,,,,,
168.8643,-46.1927,803,Clouds,broken clouds,04d,stations,283.15,281.85,283.15,283.15,1010,90,10000,1.34,341,71,1610213142,3,2008959,NZ,1610211981,1610267823,46800,6201424,Mataura,200,,,3.13,,,,,,,
-68.3,-54.8,802,Clouds,scattered clouds,03d,stations,288.15,284.56,288.15,288.15,984,33,10000,2.06,140,40,1610213139,1,8303,AR,1610179945,1610240882,-10800,3833367,Ushuaia,200,,,,,,,,,,
155.4848,-6.3164,803,Clouds,broken clouds,04n,stations,293.51,296.53,293.51,293.51,1006,95,10000,0.65,81,83,1610213143,,,PG,1610220683,1610265545,39600,2088659,Panguna,200,1006,937,,,,,,,,
-173.3,64.3833,800,Clear,clear sky,01n,stations,251.28,245.41,251.28,251.28,1008,84,10000,3.09,43,0,1610213143,,,RU,1610313201,1610330887,43200,4031574,Provideniya,200,1008,1007,,,,,,,,
161.3,68.75,802,Clouds,scattered clouds,03n,stations,238.97,234.32,238.97,238.97,1015,85,10000,1.07,190,28,1610213143,,,RU,1610240398,1610243038,39600,2126199,Cherskiy,200,1015,1015,,,,,,,,
-25.6667,37.7333,802,Clouds,scattered clouds,03d,stations,287.15,284.04,287.15,287.15,1030,51,10000,2.57,20,40,1610213143,1,6899,PT,1610182679,1610217677,-3600,3372783,Ponta Delgada,200,,,,,,,,,,
