coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow
"{'lon': 121.429, 'lat': 14.1999}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 299.54, 'feels_like': 303.19, 'temp_min': 299.26, 'temp_max': 300.15, 'pressure': 1011, 'humidity': 74}",10000.0,"{'speed': 1.03, 'deg': 0}",{'all': 75},1610118195.0,"{'type': 1, 'id': 8160, 'country': 'PH', 'sunrise': 1610058044, 'sunset': 1610098837}",28800.0,1703912.0,Magdalena,200,,,
"{'lon': 57.7575, 'lat': -20.3428}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 299.73, 'feels_like': 299.51, 'temp_min': 299.26, 'temp_max': 300.15, 'pressure': 1008, 'humidity': 74}",8000.0,"{'speed': 6.69, 'deg': 120}",{'all': 75},1610118195.0,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1610069801, 'sunset': 1610117651}",14400.0,1106677.0,Bambous Virieux,200,{'1h': 0.21},,
"{'lon': -68.3, 'lat': -54.8}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",stations,"{'temp': 281.15, 'feels_like': 271.56, 'temp_min': 281.15, 'temp_max': 281.15, 'pressure': 996, 'humidity': 76}",10000.0,"{'speed': 11.83, 'deg': 230}",{'all': 75},1610118061.0,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1610093449, 'sunset': 1610154528}",-10800.0,3833367.0,Ushuaia,200,{'1h': 0.30000000000000004},,
"{'lon': -103.4932, 'lat': 31.4229}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 272.15, 'feels_like': 267.74, 'temp_min': 272.15, 'temp_max': 272.15, 'pressure': 1025, 'humidity': 74}",10000.0,"{'speed': 2.5700000000000003, 'deg': 340}",{'all': 1},1610118140.0,"{'type': 1, 'id': 5325, 'country': 'US', 'sunrise': 1610114038, 'sunset': 1610150837}",-21600.0,5528182.0,Pecos,200,,,
"{'lon': -34.8553, 'lat': -8.0089}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 301.15, 'feels_like': 301.14, 'temp_min': 301.15, 'temp_max': 301.15, 'pressure': 1013, 'humidity': 61}",10000.0,"{'speed': 5.14, 'deg': 100}",{'all': 40},1610118195.0,"{'type': 1, 'id': 8426, 'country': 'BR', 'sunrise': 1610093352, 'sunset': 1610138567}",-10800.0,3393536.0,Olinda,200,,,
"{'lon': 19.2345, 'lat': -34.4187}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 299.82, 'feels_like': 299.41, 'temp_min': 299.82, 'temp_max': 299.82, 'pressure': 1011, 'humidity': 53}",10000.0,"{'speed': 3.58, 'deg': 124, 'gust': 7.6}",{'all': 0},1610118135.0,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1610077201, 'sunset': 1610128748}",7200.0,3366880.0,Hermanus,200,,,
"{'lon': -50.2056, 'lat': -30.1811}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 302.38, 'feels_like': 301.66, 'temp_min': 302.38, 'temp_max': 302.38, 'pressure': 1011, 'humidity': 43, 'sea_level': 1011, 'grnd_level': 1011}",10000.0,"{'speed': 3.52, 'deg': 232}",{'all': 0},1610117949.0,"{'country': 'BR', 'sunrise': 1610094494, 'sunset': 1610144795}",-10800.0,3466165.0,Cidreira,200,,,
"{'lon': 147.9167, 'lat': 70.6333}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 247.92, 'feels_like': 242.71, 'temp_min': 247.92, 'temp_max': 247.92, 'pressure': 1007, 'humidity': 90, 'sea_level': 1007, 'grnd_level': 1003}",4943.0,"{'speed': 2.06, 'deg': 257}",{'all': 99},1610118195.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600.0,2126123.0,Chokurdakh,200,,,
"{'lon': 39.8667, 'lat': 10.7167}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 294.12, 'feels_like': 290.85, 'temp_min': 294.12, 'temp_max': 294.12, 'pressure': 1010, 'humidity': 31, 'sea_level': 1010, 'grnd_level': 857}",10000.0,"{'speed': 2.58, 'deg': 82}",{'all': 0},1610118195.0,"{'country': 'ET', 'sunrise': 1610077266, 'sunset': 1610118776}",10800.0,333356.0,Kemisē,200,,,
"{'lon': 18.4232, 'lat': -33.9258}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 297.93, 'feels_like': 290.38, 'temp_min': 297.59, 'temp_max': 298.15, 'pressure': 1010, 'humidity': 53}",10000.0,"{'speed': 12.86, 'deg': 180, 'gust': 18.01}",{'all': 0},1610117871.0,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1610077471, 'sunset': 1610128867}",7200.0,3369157.0,Cape Town,200,,,
