coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,rain/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon,wind/gust,main/sea_level,main/grnd_level,message,snow/1h,snow/3h
121.429,14.1999,803,Clouds,broken clouds,04n,stations,299.54,303.19,299.26,300.15,1011,74,10000,1.03,0,75,1610118195,1,8160,PH,1610058044,1610098837,28800,1703912,Magdalena,200,,,,,,,,,,,
57.7575,-20.3428,500,Rain,light rain,10n,stations,299.73,299.51,299.26,300.15,1008,74,8000,6.69,120,75,1610118195,1,2061,MU,1610069801,1610117651,14400,1106677,Bambous Virieux,200,0.21,,,,,,,,,,
-68.3,-54.8,500,Rain,light rain,10d,stations,281.15,271.56,281.15,281.15,996,76,10000,11.83,230,75,1610118061,1,8303,AR,1610093449,1610154528,-10800,3833367,Ushuaia,200,0.3,300,Drizzle,light intensity drizzle,09d,,,,,,
-103.4932,31.4229,800,Clear,clear sky,01d,stations,272.15,267.74,272.15,272.15,1025,74,10000,2.57,340,1,1610118140,1,5325,US,1610114038,1610150837,-21600,5528182,Pecos,200,,,,,,,,,,,
-34.8553,-8.0089,802,Clouds,scattered clouds,03d,stations,301.15,301.14,301.15,301.15,1013,61,10000,5.14,100,40,1610118195,1,8426,BR,1610093352,1610138567,-10800,3393536,Olinda,200,,,,,,,,,,,
19.2345,-34.4187,800,Clear,clear sky,01d,stations,299.82,299.41,299.82,299.82,1011,53,10000,3.58,124,0,1610118135,3,2006131,ZA,1610077201,1610128748,7200,3366880,Hermanus,200,,,,,,7.6,,,,,
-50.2056,-30.1811,800,Clear,clear sky,01d,stations,302.38,301.66,302.38,302.38,1011,43,10000,3.52,232,0,1610117949,,,BR,1610094494,1610144795,-10800,3466165,Cidreira,200,,,,,,,1011,1011,,,
147.9167,70.6333,804,Clouds,overcast clouds,04n,stations,247.92,242.71,247.92,247.92,1007,90,4943,2.06,257,99,1610118195,,,RU,0,0,39600,2126123,Chokurdakh,200,,,,,,,1007,1003,,,
39.8667,10.7167,800,Clear,clear sky,01d,stations,294.12,290.85,294.12,294.12,1010,31,10000,2.58,82,0,1610118195,,,ET,1610077266,1610118776,10800,333356,Kemisē,200,,,,,,,1010,857,,,
18.4232,-33.9258,800,Clear,clear sky,01d,stations,297.93,290.38,297.59,298.15,1010,53,10000,12.86,180,0,1610117871,1,1899,ZA,1610077471,1610128867,7200,3369157,Cape Town,200,,,,,,18.01,,,,,
172.7902,3.0707,500,Rain,light rain,10n,stations,300.06,300,300.06,300.06,1007,83,9257,8.2,86,100,1610118134,,,KI,1610131020,1610174050,43200,2110227,Butaritari,200,0.4,,,,,,1007,1006,,,
-175.2,-21.2,801,Clouds,few clouds,02n,stations,298.15,302.51,298.15,298.15,1014,94,10000,2.06,40,20,1610118137,1,7285,TO,1610212079,1610260074,46800,4032243,Vaini,200,,,,,,,,,,,
117.1333,-20.7833,500,Rain,light rain,10n,stations,305.36,307.17,305.36,305.36,1010,49,10000,2.78,261,80,1610118196,,,AU,1610055494,1610103450,28800,2062276,Roebourne,200,0.1,,,,,,1010,1008,,,
-97.5169,28.017,801,Clouds,few clouds,02d,stations,281.51,276.48,280.93,282.15,1027,71,10000,5.14,30,20,1610118139,1,3705,US,1610112159,1610149846,-21600,4726521,San Patricio,200,,,,,,,,,,,
29.0864,70.8578,800,Clear,clear sky,01n,stations,266.03,253.41,264.15,267.15,1018,63,10000,13.38,230,0,1610118196,1,1620,NO,0,0,3600,780687,Berlevåg,200,,,,,,,,,,,
-70.9167,-53.15,802,Clouds,scattered clouds,03d,stations,286.04,279.64,285.93,286.15,1000,54,10000,7.2,280,40,1610118132,1,8487,CL,1610094673,1610154560,-10800,3874787,Punta Arenas,200,,,,,,,,,,,
119.8062,16.2923,801,Clouds,few clouds,02n,stations,298.04,296.05,298.04,298.04,1012,81,10000,9.11,14,16,1610118196,,,PH,1610058653,1610099007,28800,1717787,Catuday,200,,,,,,,1012,996,,,
-134.9692,-23.1203,804,Clouds,overcast clouds,04d,stations,298.89,300.86,298.89,298.89,1016,73,10000,2.83,15,100,1610118133,,,PF,1610115752,1610164235,-32400,4030556,Rikitea,200,,,,,,,1016,1013,,,
-109.9124,22.8909,800,Clear,clear sky,01d,stations,287.88,284.2,287.15,288.71,1018,58,10000,4.12,260,1,1610118035,1,7165,MX,1610114519,1610153437,-25200,3985710,Cabo San Lucas,200,,,,,,,,,,,
-9.0603,42.7762,800,Clear,clear sky,01d,stations,282.89,279.04,282.59,283.15,1012,51,10000,2.68,41,0,1610118197,3,72671,ES,1610093178,1610126356,3600,3115824,Muros,200,,,,,,8.94,,,,,
115.3333,-33.65,803,Clouds,broken clouds,04n,stations,298.03,297.85,297.59,298.71,1010,40,10000,0.45,70,75,1610118133,3,2020551,AU,1610054241,1610105567,28800,2075265,Busselton,200,,,,,,2.68,,,,,
168.3333,-46.6,804,Clouds,overcast clouds,04n,stations,285.93,282.13,285.93,285.93,1011,75,10000,4.92,247,87,1610118135,3,2008959,NZ,1610125541,1610181670,46800,2206939,Bluff,200,,,,,,7.6,,,,,
-54.3333,-34.4833,800,Clear,clear sky,01d,stations,301.05,299.81,301.05,301.05,1011,50,10000,4.89,183,0,1610118197,,,UY,1610094858,1610146413,-10800,3440777,Rocha,200,,,,,,,1011,1007,,,
-139.0333,-9.8,801,Clouds,few clouds,02n,stations,298.29,296.34,298.29,298.29,1013,78,10000,8.78,84,21,1610118148,,,PF,1610118182,1610163757,-34200,4020109,Atuona,200,,,,,,,1013,1005,,,
-159.319,22.0752,800,Clear,clear sky,01n,stations,291.15,290.65,291.15,291.15,1018,94,10000,4.12,280,1,1610118138,1,7873,US,1610126285,1610165394,-36000,5848280,Kapaa,200,,,,,,,,,,,
5.75,5.5167,500,Rain,light rain,10d,stations,303.96,306.57,303.96,303.96,1008,62,10000,3.5,241,77,1610118197,,,NG,1610084938,1610127485,3600,2319133,Warri,200,0.26,,,,,,1008,1007,,,
